 2016-07-20 07:16:04,107 [P10660/D2/T157] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-07-19 07:16:04
 2016-07-20 08:48:35,238 [P7440/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on DEVELOPMENT07
 2016-07-20 08:48:35,331 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-07-20 08:48:35,372 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 40ms)
 2016-07-20 08:48:35,422 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-07-20 08:48:35,442 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 19ms)
 2016-07-20 08:48:35,460 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-07-20 08:48:35,461 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2016-07-20 08:48:35,462 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-07-20 08:48:35,463 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-07-20 08:48:35,476 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-07-20 08:48:35,477 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-07-20 08:48:35,478 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-07-20 08:48:35,483 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 5ms)
 2016-07-20 08:48:35,580 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-07-20 08:48:35,581 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-07-20 08:48:35,581 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-07-20 08:48:35,582 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-07-20 08:48:36,979 [P7440/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-20 08:48:37,411 [P7440/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-20 08:48:37,430 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-07-20 08:48:37,432 [P7440/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
 2016-07-20 08:48:37,754 [P7440/D2/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-07-20 08:48:37,787 [P7440/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-07-20 08:48:37,894 [P7440/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-07-20 08:48:37,924 [P7440/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-07-20 08:48:38,071 [P7440/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-07-20 08:48:38,081 [P7440/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 3015ms)
 2016-07-20 08:48:39,781 [P7440/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:54817/umbraco (UmbracoModule request)
 2016-07-20 08:48:40,112 [P7440/D2/T10] INFO  umbraco.content - Load Xml from file...
